"id","name","description"
"advertising","Advertising","Services that deliver advertising, or monitor and track for the purpose of advertising."
"audio","Audio","Services for discovering, watching, recording, performing, or composing audio."
"autonomous","Autonomous","Services that support the operation or maintenance of connected devices."
"business","Business","Services that support business such as customer relations, customer support or sales management."
"cloud","Cloud","Services for cloud computing, hosting or content delivery."
"collaboration","Collaboration","Services that enable people to create, share or learn together."
"database","Database","Services that manage or query a database."
"device","Smart Device","Services that support Internet-of-Things or home automation devices."
"education","Education","Services for learning, reference or classroom management."
"file_transfer","File Transfer","Services that store or transfer files."
"gaming","Gaming","Services that provide single or multiplayer interactive activities for entertainment purposes."
"health","Health & Fitness","Services for health and fitness activities."
"messaging","Messaging","Services that provide communication between people such as email, instant messaging or video conferencing."
"navigation","Navigation","Services that provide information to help a user travel to a physical location."
"networking","Networking","Services related to the operation, management, or monitoring of computer networks."
"news","News","Services that provide information about current events or developments in areas of interest such as politics, entertainment, business, science, technology, and so on."
"other","Other","Services that do not clearly fit into another category."
"p2p","Peer-to-peer File Sharing","Services that facilitate file sharing by distributing tasks or workloads between peers."
"photo","Photo","Services for discovering, editing, accessing, storing, and sharing images."
"productivity","Productivity","Services that help increase productivity such as time, task, or project management. "
"remoting","Remoting","Services that provide VPN, proxy, remote desktop, remote control, or remote management."
"security","Security Software","Services that provide protection against intrusion and unauthorized use of data, networks or devices."
"shopping","Shopping","Services that support the activity of shopping."
"social","Social","Services that connect people by means of text, voice, photo, or video that contribute to community development and social interaction."
"unknown","Unknown",
"updates","Software Updates","Services that facilitate the process of replacing a product with a newer version of the same product."
"video","Video","Services for discovering, watching, recording, performing, or composing video."
