category,tag
Oven,noninteractive-iot
Voice Assistant,interactive-iot
Home Security,noninteractive-iot
E-Reader,noninteractive-iot
Wearable,noninteractive-iot
Printer,noninteractive-iot
Doorlock,noninteractive-iot
TV or Home Theater,IoT
Outdoor Gadgets,noninteractive-iot
Desktop Computer,non-IoT
Robot Vacuum Cleaner,noninteractive-iot
Humidifier,noninteractive-iot
EV Charger,noninteractive-iot
Sleep System,noninteractive-iot
Virtual Reality,noninteractive-iot
Smart Remote,noninteractive-iot
Smart Monitor,noninteractive-iot
Clock,noninteractive-iot
Server,non-IoT
Vacuum,noninteractive-iot
Cooker,noninteractive-iot
Dishwasher,noninteractive-iot
Cameras & Camcorders,IoT
Science Kit,noninteractive-iot
Picture Frame,noninteractive-iot
Visitor Management,noninteractive-iot
Light Switch,noninteractive-iot
Thermostat,noninteractive-iot
Smart Grill,noninteractive-iot
Lock,noninteractive-iot
Water Heater,noninteractive-iot
Air Fryer,noninteractive-iot
Laptop,non-IoT
Coffee Maker,noninteractive-iot
Dish Washer,noninteractive-iot
Blender,noninteractive-iot
Custom Gateway,noninteractive-iot
Fan,noninteractive-iot
WiFi Speaker,IoT
Smart Bed,noninteractive-iot
Lawn Mower,noninteractive-iot
Solar,noninteractive-iot
Garage Opener,noninteractive-iot
TV,interactive-iot
Gaming System,IoT
IoT,IoT
Scale,noninteractive-iot
Air Conditioner,noninteractive-iot
Range Extender,interactive-iot
Mesh Router,interactive-iot
Storage,noninteractive-iot
Computer,non-IoT
IoT Platform,interactive-iot
Smart Device,interactive-iot
Microwave,noninteractive-iot
Laptop Computer,non-IoT
Rotimatic,noninteractive-iot
Media Player,noninteractive-iot
Bitcoin Miner,noninteractive-iot
Doorbell,noninteractive-iot
Toy,noninteractive-iot
Speaker,noninteractive-iot
Point of Sale,interactive-iot
Plug,noninteractive-iot
Pool System,noninteractive-iot
Computer Accessory,IoT
Fridge,noninteractive-iot
Bike,IoT
NAS Storage,noninteractive-iot
Game Console,interactive-iot
Range & Stove,noninteractive-iot
Pet Accessory,noninteractive-iot
Set Top Box,interactive-iot
Smart Laundry,noninteractive-iot
Appliance or Wearable,IoT
Air Purifier,noninteractive-iot
Sprinkler,noninteractive-iot
Cooktop,noninteractive-iot
Light Bulb,noninteractive-iot
WiFi Tracker,noninteractive-iot
Watch,interactive-iot
VoIP Gateway,noninteractive-iot
Fitness Bike,noninteractive-iot
Mobile Phone,non-IoT
Smoke Alarm,noninteractive-iot
Router,interactive-iot
Smart Phone,non-IoT
Car,noninteractive-iot
Camera,noninteractive-iot
Weather Monitor,noninteractive-iot
Network Controller,noninteractive-iot
Sensor,noninteractive-iot
Diffuser,noninteractive-iot
Smart Appliance,noninteractive-iot
Hub,noninteractive-iot
Washer Dryer,noninteractive-iot
Tablet,non-IoT
Fitness Trainer,noninteractive-iot
Baby Camera,noninteractive-iot
